Bird Name	Folder
Common Myna	Common_Myna
Common Nighthawk	Common_Nighthawk
Common Pauraque	Common_Pauraque
Common Pochard	Common_Pochard
Common Poorwill	Common_Poorwill
Common Raven	Common_Raven
Common Redpoll	Common_Redpoll
Common Redshank	Common_Redshank
Common Redstart	Common_Redstart
Common Ringed Plover	Common_Ringed_Plover
Common Rosefinch	Common_Rosefinch
Common Sandpiper	Common_Sandpiper
Common Scoter	Common_Scoter
Common Shelduck	Common_Shelduck
Common Snipe	Common_Snipe
Common Swift	Common_Swift
Common Tern	Common_Tern
Common Waxbill	Common_Waxbill
Common Wood-Pigeon	Common_Wood-Pigeon
Common Yellowthroat	Common_Yellowthroat
Connecticut Warbler	Connecticut_Warbler
Cook's Petrel	Cooks_Petrel
Cooper's Hawk	Coopers_Hawk
Corn Crake	Corn_Crake
Cory's Shearwater	Corys_Shearwater
Costa's Hummingbird	Costas_Hummingbird
Couch's Kingbird	Couchs_Kingbird
Crane Hawk	Crane_Hawk
Craveri's Murrelet	Craveris_Murrelet
Crescent-chested Warbler	Crescent-chested_Warbler
Crested Auklet	Crested_Auklet
Crested Caracara	Crested_Caracara
Crested Myna	Crested_Myna
Crimson-collared Grosbeak	Crimson-collared_Grosbeak
Crissal Thrasher	Crissal_Thrasher
Crowned Slaty Flycatcher	Crowned_Slaty_Flycatcher
Cuban Martin	Cuban_Martin
Cuban Pewee	Cuban_Pewee
Cuban Vireo	Cuban_Vireo
Curlew Sandpiper	Curlew_Sandpiper
Curve-billed Thrasher	Curve-billed_Thrasher
Dark-billed Cuckoo	Dark-billed_Cuckoo
Dark-eyed Junco	Dark-eyed_Junco
Dark-sided Flycatcher	Dark-sided_Flycatcher
Demoiselle Crane	Demoiselle_Crane
Desertas (Fea’s) Petrel	Desertas_(Feas)_Petrel
Dickcissel	Dickcissel
Double-crested Cormorant	Double-crested_Cormorant
Double-striped Thick-knee	Double-striped_Thick-knee
Double-toothed Kite	Double-toothed_Kite
Dovekie	Dovekie
Downy Woodpecker	Downy_Woodpecker
Dunlin	Dunlin
Dusky Flycatcher	Dusky_Flycatcher
Dusky Grouse	Dusky_Grouse
Dusky Thrush	Dusky_Thrush
Dusky Warbler	Dusky_Warbler
Dusky-capped Flycatcher	Dusky-capped_Flycatcher
Eared Grebe	Eared_Grebe
Eared Quetzal	Eared_Quetzal
Eastern Bluebird	Eastern_Bluebird
Eastern Cattle-Egret	Eastern_Cattle-Egret
Eastern Kingbird	Eastern_Kingbird
Eastern Meadowlark	Eastern_Meadowlark
Eastern Phoebe	Eastern_Phoebe
Eastern Screech-Owl	Eastern_Screech-Owl
Eastern Spot-billed Duck	Eastern_Spot-billed_Duck
Eastern Towhee	Eastern_Towhee
Eastern Warbling-Vireo	Eastern_Warbling-Vireo
Eastern Whip-poor-will	Whip-poor-will
Eastern Wood-Pewee	Eastern_Wood-Pewee
Eastern Yellow Wagtail	Eastern_Yellow_Wagtail
Egyptian Goose	Egyptian_Goose
